"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EROSMEDIA","EQ","13-Nov-2015","        263.85","        239.50","        240.00","        237.50","        237.50","        237.50","        237.76","     411336","            97800303.40","       4342","     360182","         87.56"
"EROSMEDIA","EQ","16-Nov-2015","        237.50","        213.75","        213.75","        213.75","        213.75","        213.75","        213.75","     278810","            59595637.50","       1987","     248929","         89.28"
"EROSMEDIA","EQ","17-Nov-2015","        213.75","        209.00","        224.40","        203.10","        203.10","        203.35","        211.87","    3562034","           754676461.05","      63947","    1258875","         35.34"
"EROSMEDIA","EQ","18-Nov-2015","        203.35","        210.75","        213.50","        205.10","        213.50","        213.50","        211.69","    3864298","           818021827.45","      50311","    1309312","         33.88"
"EROSMEDIA","EQ","19-Nov-2015","        213.50","        218.90","        224.15","        217.00","        224.15","        224.15","        222.74","    1673711","           372809658.75","      20395","     547665","         32.72"
"EROSMEDIA","EQ","20-Nov-2015","        224.15","        232.40","        235.35","        231.30","        235.35","        235.35","        234.21","     856412","           200578835.60","       9387","     362137","         42.29"
"EROSMEDIA","EQ","23-Nov-2015","        235.35","        241.50","        243.90","        228.20","        237.35","        237.45","        238.42","    1440881","           343538928.00","      23270","     510937","         35.46"
"EROSMEDIA","EQ","24-Nov-2015","        237.45","        233.80","        241.90","        232.30","        234.20","        234.35","        237.10","     563775","           133673852.95","      11467","     217470","         38.57"
"EROSMEDIA","EQ","26-Nov-2015","        234.35","        234.50","        239.70","        228.55","        228.75","        229.70","        233.43","     431847","           100804480.00","       7532","     229244","         53.08"
"EROSMEDIA","EQ","27-Nov-2015","        229.70","        231.00","        232.50","        218.25","        218.25","        218.30","        222.73","    1002677","           223329226.00","      17687","     511395","         51.00"
"EROSMEDIA","EQ","30-Nov-2015","        218.30","        220.90","        226.50","        219.40","        222.50","        222.60","        222.88","     533788","           118970493.40","      11457","     204494","         38.31"
"EROSMEDIA","EQ","01-Dec-2015","        222.60","        225.75","        232.85","        224.50","        228.40","        228.40","        228.53","     626718","           143221515.15","      12588","     249915","         39.88"
"EROSMEDIA","EQ","02-Dec-2015","        228.40","        228.60","        239.80","        226.00","        239.80","        239.80","        234.27","     863429","           202279731.80","      13967","     388440","         44.99"
"EROSMEDIA","EQ","03-Dec-2015","        239.80","        245.45","        251.75","        241.10","        251.75","        251.75","        249.23","    1690959","           421437647.60","      19404","     533902","         31.57"
"EROSMEDIA","EQ","04-Dec-2015","        251.75","        254.00","        273.80","        245.50","        255.70","        256.45","        261.85","    3415024","           894227519.90","      59401","     739189","         21.65"
"EROSMEDIA","EQ","07-Dec-2015","        256.45","        262.00","        268.00","        260.10","        261.40","        261.10","        263.55","     828711","           218404878.40","      17784","     256068","         30.90"
"EROSMEDIA","EQ","08-Dec-2015","        261.10","        259.00","        260.10","        243.50","        247.10","        245.80","        251.60","     852440","           214474745.20","      19325","     263547","         30.92"
"EROSMEDIA","EQ","09-Dec-2015","        245.80","        243.00","        245.40","        227.00","        228.00","        228.55","        233.59","     798073","           186423735.20","      15500","     248087","         31.09"
"EROSMEDIA","EQ","10-Dec-2015","        228.55","        233.80","        242.90","        228.00","        237.60","        237.50","        235.61","    1260466","           296973937.95","      29306","     243456","         19.31"
"EROSMEDIA","EQ","11-Dec-2015","        237.50","        242.70","        249.00","        235.50","        239.50","        238.70","        242.96","    1002592","           243590557.50","      16857","     282989","         28.23"
"EROSMEDIA","EQ","14-Dec-2015","        238.70","        232.50","        239.70","        231.00","        236.55","        235.60","        234.92","     478196","           112336113.30","      13130","     128548","         26.88"
"EROSMEDIA","EQ","15-Dec-2015","        235.60","        235.00","        241.30","        233.55","        236.90","        236.80","        237.49","     528790","           125579922.75","       9334","     242666","         45.89"
"EROSMEDIA","EQ","16-Dec-2015","        236.80","        241.40","        243.65","        237.15","        239.50","        239.40","        240.47","     700883","           168541545.75","      12432","     318559","         45.45"
"EROSMEDIA","EQ","17-Dec-2015","        239.40","        243.30","        261.85","        240.05","        259.60","        259.55","        254.79","    2157917","           549823985.55","      36166","     554359","         25.69"
"EROSMEDIA","EQ","18-Dec-2015","        259.55","        262.50","        268.50","        258.45","        260.10","        260.50","        264.26","    1740558","           459961517.35","      30714","     729652","         41.92"
"EROSMEDIA","EQ","21-Dec-2015","        260.50","        262.65","        265.25","        248.00","        249.55","        249.40","        254.13","     839560","           213360181.80","      15001","     341601","         40.69"
"EROSMEDIA","EQ","22-Dec-2015","        249.40","        255.80","        259.00","        253.30","        256.00","        256.00","        256.21","     753761","           193118692.25","      15039","     202957","         26.93"
"EROSMEDIA","EQ","23-Dec-2015","        256.00","        259.10","        259.60","        253.40","        255.05","        254.90","        256.00","     479641","           122788987.20","       9400","     167356","         34.89"
"EROSMEDIA","EQ","24-Dec-2015","        254.90","        256.50","        259.80","        252.00","        254.45","        254.15","        256.12","     479310","           122759213.90","       9774","     122427","         25.54"
